Loaded checkpoints/v0.7.1/deepnash_async_v0.7.1_100000.pt (history=8); engine=/home/tristan/Dropbox/JKU/Semester_14/02_thesis/deepnash-rbc/tools/stockfish/stockfish-ubuntu-x86-64-bmi2
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_score_cache` is True, but the score cache file, b_cache.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:17  🦀  Parameter `load_opening_book` is True, but the default opening book, opening_books/opening_B_ALL.pk, was not found! Playing without it.
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
167879 06:09:28  🦀  I won by KING_CAPTURE
[mq:strangefish2] game 69/100 (W, loss): 10 moves analysed
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Starting a new game as white against RNaDPlayer.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
167879 06:09:28  🦀  Parameter `load_score_cache` is True, but the score cache file, w_cache.pk, was not found! Playing without it.
